UserId,total,mean,median,avg_1week_rev,total_1week_rev
1326865,351.42,18.5,17.16,0.0,0.0
1333278,45.0,22.5,22.5,0.0,0.0
1336967,20.0,20.0,20.0,0.0,0.0
1339784,59.28,29.64,29.64,0.0,0.0
1339829,17.05,17.05,17.05,0.0,0.0
1346806,17.05,17.05,17.05,0.0,0.0
1361182,100.0,20.0,20.0,0.0,0.0
1392534,46.9,46.9,46.9,0.0,0.0
1405503,43.21,21.6,21.6,0.0,0.0
1415290,150.0,25.0,20.0,0.0,0.0
1417297,11.68,11.68,11.68,0.0,0.0
1494447,20.0,20.0,20.0,0.0,0.0
1610096,150.0,75.0,75.0,0.0,0.0
1617757,23.32,11.66,11.66,0.0,0.0
1618208,21.32,21.32,21.32,0.0,0.0
1629211,4229.3,82.93,50.0,0.0,0.0
1632830,20.0,20.0,20.0,0.0,0.0
1694925,140.0,20.0,20.0,0.0,0.0
1708806,80.0,20.0,20.0,0.0,0.0
1728899,42.13,14.04,12.4,0.0,0.0
1729986,120.0,60.0,60.0,0.0,0.0
1734610,205.0,102.5,102.5,0.0,0.0
1738641,100.0,33.33,40.0,0.0,0.0
1781700,29.19,29.19,29.19,0.0,0.0
1784259,18.1,18.1,18.1,0.0,0.0
1792875,145.87,18.23,18.03,0.0,0.0
1816994,60.0,20.0,20.0,0.0,0.0
1829548,11.68,11.68,11.68,0.0,0.0
1829794,23.49,11.74,11.74,0.0,0.0
1831652,70.0,23.33,20.0,0.0,0.0
1832338,40.0,20.0,20.0,0.0,0.0
1832388,39.0,19.5,19.5,0.0,0.0
1833302,60.0,20.0,20.0,0.0,0.0
1836937,17.82,17.82,17.82,0.0,0.0
1838670,18.95,18.95,18.95,0.0,0.0
1840354,34.61,17.3,17.3,0.0,0.0
1860057,18.76,18.76,18.76,0.0,0.0
1862459,11.68,11.68,11.68,0.0,0.0
1870718,30.0,30.0,30.0,0.0,0.0
1871770,18.76,18.76,18.76,0.0,0.0
1875951,160.0,20.0,20.0,0.0,0.0
1898372,1110.0,370.0,20.0,0.0,0.0
1905665,69.99,17.5,17.52,0.0,0.0
1907382,52.52,52.52,52.52,0.0,0.0
1909115,65.66,13.13,12.4,0.0,0.0
1909867,20.0,20.0,20.0,0.0,0.0
1914253,20.0,20.0,20.0,0.0,0.0
1915977,17.05,17.05,17.05,0.0,0.0
1920020,20.0,20.0,20.0,0.0,0.0
1938362,100.0,20.0,20.0,0.0,0.0
1962310,17.05,17.05,17.05,0.0,0.0
1978033,20.0,20.0,20.0,0.0,0.0
1978075,680.0,45.33,30.0,0.0,0.0
1980325,160.0,32.0,20.0,0.0,0.0
1984531,11.68,11.68,11.68,0.0,0.0
1984574,40.0,20.0,20.0,0.0,0.0
1985150,20.0,20.0,20.0,0.0,0.0
1985299,34.21,17.1,17.1,0.0,0.0
1985420,20.0,20.0,20.0,0.0,0.0
1995887,67.96,33.98,33.98,0.0,0.0
1997444,34.61,17.3,17.3,0.0,0.0
1997883,30.0,30.0,30.0,0.0,0.0
1999950,25.0,25.0,25.0,0.0,0.0
2000334,151.0,151.0,151.0,0.0,0.0
2000801,40.0,20.0,20.0,0.0,0.0
2003057,17.05,17.05,17.05,0.0,0.0
2005655,17.05,17.05,17.05,0.0,0.0
2008767,22.27,22.27,22.27,0.0,0.0
2011718,2535.0,211.25,55.0,0.0,0.0
2016940,20.0,20.0,20.0,0.0,0.0
2025406,520.0,65.0,50.0,0.0,0.0
2028366,17.05,17.05,17.05,0.0,0.0
2034938,300.0,33.33,20.0,0.0,0.0
2042702,17.05,17.05,17.05,0.0,0.0
2043772,17.05,17.05,17.05,0.0,0.0
2055007,272.63,30.29,30.38,0.0,0.0
2063036,20.0,20.0,20.0,0.0,0.0
2087613,11.68,11.68,11.68,0.0,0.0
2088269,17.05,17.05,17.05,0.0,0.0
2088468,11.68,11.68,11.68,0.0,0.0
2088598,20.0,20.0,20.0,0.0,0.0
2091524,11.68,11.68,11.68,0.0,0.0
2098285,40.0,20.0,20.0,0.0,0.0
